Cool,Multiling,Umultiling,ComfNonEng,Media,Priv,StHeard,StDescr,Zed,Spell,SpellUni,Distinct,SameEW,Celebs,Prestige,RecCdns,Software,Dictionary,RecogEh,CdnSorry,EnglAble,FrAble,IndAble,BeyondEF,CdnWay,Age,LiveLand,LiveProv,Gender,EduComp,DegreeYear,Region,EUI,DistCult,EOI,SocMedia
Strongly agree,Definitely yes,Yes,Extremely comfortable,Important,Yes,Yes,"Yes, but I can't describe it well",zed,Neither unimportant nor important,Might or might not,Probably yes,Definitely not,Yes (please specify who):,British English,Sometimes,Yes,Definitely yes,Might or might not,Probably yes,Neither disagree nor agree,Neither disagree nor agree,Strongly agree,Neither disagree nor agree,Definitely yes,60-64,Italy,,female,post-graduate degree,I am not currently studying,Italy,7,no,,2-4 hours
Strongly disagreee,Neutral,Yes,Moderately uncomfortable,,Yes,Yes,,zee,Neither unimportant nor important,Might or might not,Don't know,Probably not,Yes (please specify who):,British English,Often,Yes,No,Definitely yes,Might or might not,Agree,Neither disagree nor agree,Neither disagree nor agree,Agree,,65-69,United States,Illinois,female,graduate degree,I am not currently studying,US,0,yes (please specify):,13,1-2 hours
Strongly agree,Probably yes,No,,Important,That depends (please also explain if you can),No,,zee,Important,Probably yes,Probably yes,Probably not,Yes (please specify who):,British English,Sometimes,Yes,No,Definitely yes,Probably yes,Disagree,Disagree,Agree,Disagree,Probably yes,70-74,United States,North Carolina,female,graduate degree,I am not currently studying,US,0,no,,30 minutes to 1 hour
Agree,Probably yes,No,,Important,That depends (please also explain if you can),Yes,"Yes, but I can't describe it well",zed,Very important,Definitely yes,Don't know,Probably not,,British English,Sometimes,,Yes,Definitely yes,Definitely yes,Neither disagree nor agree,Neither disagree nor agree,Agree,Neither disagree nor agree,Probably yes,70-74,Canada,Ontario,female,post-graduate degree,I am not currently studying,ON,0,no,,30 minutes to 1 hour
Strongly agree,Probably yes,Yes,Does not apply to me (I don't live in Canada),Important,Yes,No,,zed,Important,Definitely yes,Definitely yes,,,No particular variety,Sometimes,Yes,Yes,Probably yes,Might or might not,Neither disagree nor agree,Neither disagree nor agree,Agree,Neither disagree nor agree,Probably yes,70-74,United States,Maryland,female,graduate degree,I am not currently studying,Australia,0,yes (please specify):,3,1-2 hours
Strongly agree,Probably yes,No,,Important,Yes,No,,zee,Very important,Definitely yes,Probably not,Probably not,,British English,Often,No,No,Probably yes,Probably yes,Strongly agree,Neither disagree nor agree,Disagree,Neither disagree nor agree,Definitely yes,60-64,United States,Texas,female,undergraduate degree,I am not currently studying,US,0,yes (please specify):,15,30 minutes to 1 hour
Strongly agree,Probably yes,No,,Important,That depends (please also explain if you can),No,,zee,Unimportant,Probably not,Probably yes,Definitely not,Yes (please specify who):,No particular variety,Often,Yes,Neither yes or no,Definitely yes,Probably yes,Agree,Disagree,Agree,Agree,Definitely yes,50-54,United States,Alabama,male,undergraduate degree,I am in a graduate program,US,0,no,,1-2 hours
Strongly agree,Definitely yes,Yes,Moderately comfortable,Important,That depends (please also explain if you can),,"Yes, but I can't describe it well",zed,Neither unimportant nor important,Probably not,Probably yes,Probably not,Yes (please specify who):,British English,Sometimes,Yes,Definitely yes,Definitely yes,Probably yes,Disagree,Disagree,Neither disagree nor agree,Disagree,Probably yes,60-64,Canada,Ontario,female,post-graduate degree,I am not currently studying,AB,2,no,,2-4 hours
Strongly agree,Definitely yes,Yes,Moderately uncomfortable,,That depends (please also explain if you can),Yes,"Yes, but I can't describe it well",zed,Important,Definitely yes,Probably yes,Probably yes,Yes (please specify who):,No particular variety,Often,Yes,Neither yes or no,Definitely yes,Definitely yes,Disagree,Disagree,Neither disagree nor agree,Disagree,Probably yes,50-54,Canada,British Columbia,female,undergraduate degree,I am not currently studying,MB,0,no,,30 minutes to 1 hour
Somewhat agree,Probably not,No,,Important,Yes,Yes,"Yes, but I can't describe it well",both,Neither unimportant nor important,Probably yes,Probably yes,Definitely not,Yes (please specify who):,British English,Often,Yes,Yes,Might or might not,Probably yes,Agree,Neither disagree nor agree,Agree,Neither disagree nor agree,Probably yes,20-24,Canada,Ontario,male,high school,Third year,BC,0,no,,1-2 hours
Strongly agree,Probably not,No,,Important,No,Not sure,,zee,Unimportant,Probably yes,Probably not,Probably not,,No particular variety,Sometimes,Yes,Neither yes or no,Probably yes,Probably not,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Probably yes,65-69,United States,California,female,post-graduate degree,I am not currently studying,ON,0,no,,1-2 hours
Strongly agree,Probably not,Yes,Moderately comfortable,Extremely unimportant,That depends (please also explain if you can),No,"Yes, but I can't describe it well",both,Very unimportant,,Probably not,Probably not,,No particular variety,Sometimes,,No,Might or might not,Probably yes,Strongly disagree,Strongly disagree,Neither disagree nor agree,Neither disagree nor agree,Probably not,20-24,Canada,British Columbia,female,undergraduate degree,I am in a graduate program,BC,6,yes (please specify):,5,2-4 hours
Strongly agree,Probably yes,No,,Extremely important,That depends (please also explain if you can),Yes,"Yes, I do know. It is... (please describe briefly):",zed,Very important,Probably yes,Definitely yes,Probably not,Yes (please specify who):,British English,Sometimes,Yes,Yes,Definitely yes,Probably yes,Agree,Agree,Strongly agree,Neither disagree nor agree,Probably yes,20-24,Canada,British Columbia,male,undergraduate degree,I am in a graduate program,ON,0,no,,4-6 hours
Strongly agree,Probably yes,No,,Important,That depends (please also explain if you can),Not sure,"Yes, but I can't describe it well",zed,Important,,Probably yes,Probably not,,British English,Often,Yes,Yes,Definitely yes,Probably not,Neither disagree nor agree,Neither disagree nor agree,Agree,Disagree,Probably yes,55-59,Canada,Ontario,female,post-graduate degree,I am not currently studying,PE,0,no,,1-2 hours
Strongly agree,Definitely yes,Yes,Moderately comfortable,Important,Yes,No,,zed,Neither unimportant nor important,Might or might not,Probably yes,Definitely not,Yes (please specify who):,British English,Always,Yes,Definitely yes,Definitely yes,Definitely yes,Agree,Disagree,Strongly agree,Neither disagree nor agree,Definitely yes,20-24,Canada,British Columbia,female,high school,Fourth year+,BC,8,yes (please specify):,11,2-4 hours
Strongly agree,Definitely yes,No,,Important,No,Yes,,both,,Probably yes,Probably yes,,Yes (please specify who):,British English,Often,Yes,Yes,Probably yes,Probably yes,Agree,Neither disagree nor agree,,Neither disagree nor agree,Probably yes,50-54,Canada,Ontario,female,undergraduate degree,I am not currently studying,ON,0,no,,1-2 hours
Strongly agree,Definitely yes,Yes,Extremely comfortable,,That depends (please also explain if you can),Yes,"Yes, but I can't describe it well",zed,Neither unimportant nor important,Definitely yes,Probably yes,Definitely not,Yes (please specify who):,No particular variety,Sometimes,Yes,Definitely yes,Probably yes,Probably yes,Disagree,Disagree,Agree,Agree,Probably yes,40-44,Canada,Ontario,male,post-graduate degree,I am not currently studying,ON,1,no,,30 minutes to 1 hour
Agree,Probably yes,No,,Extremely important,That depends (please also explain if you can),No,,both,Very important,Definitely yes,Probably not,Probably not,,British English,Sometimes,Yes,Yes,Probably yes,Probably not,Strongly agree,Neither disagree nor agree,Agree,Neither disagree nor agree,,60-64,Canada,British Columbia,male,undergraduate degree,I am not currently studying,SK,0,no,,2-4 hours
Strongly agree,Definitely yes,No,,Important,That depends (please also explain if you can),No,,both,Important,Probably yes,Probably yes,Probably not,No,No particular variety,Rarely,Yes,Don't know,Probably yes,Probably yes,Strongly disagree,Strongly disagree,Agree,Agree,,50-54,Canada,British Columbia,male,graduate degree,I am not currently studying,ON,0,no,,30 minutes to 1 hour
Strongly agree,Definitely yes,Yes,Extremely comfortable,Important,That depends (please also explain if you can),Yes,"Yes, but I can't describe it well",zed,Important,Probably yes,Definitely yes,Definitely not,Yes (please specify who):,British English,Often,Yes,Yes,Definitely yes,Definitely yes,Neither disagree nor agree,Neither disagree nor agree,Agree,Disagree,Definitely yes,60-64,Canada,Ontario,female,graduate degree,I am not currently studying,ON,4,yes (please specify):,10,1-2 hours
Strongly agree,Definitely yes,No,,Extremely important,That depends (please also explain if you can),No,,zed,Very unimportant,Definitely yes,Definitely yes,Definitely not,,No particular variety,Sometimes,Yes,Definitely yes,Definitely yes,Probably yes,Agree,Neither disagree nor agree,Agree,Neither disagree nor agree,,60-64,Canada,Ontario,female,undergraduate degree,I am not currently studying,ON,0,yes (please specify):,12,less than 30 minutes
Somewhat agree,Neutral,No,,Unimportant,That depends (please also explain if you can),Yes,"Yes, I do know. It is... (please describe briefly):",zed,Very important,Definitely yes,Definitely yes,Definitely not,Yes (please specify who):,Canadian English,Often,Yes,Definitely yes,Probably not,Definitely yes,Neither disagree nor agree,Strongly disagree,Strongly agree,Neither disagree nor agree,Definitely yes,30-34,Canada,British Columbia,female,undergraduate degree,I am not currently studying,BC,0,no,,2-4 hours
Strongly agree,Probably yes,No,,Unimportant,Yes,No,,zee,Very unimportant,Probably yes,Definitely yes,Probably not,Yes (please specify who):,British English,Sometimes,Yes,Yes,Definitely yes,Probably yes,Neither disagree nor agree,Neither disagree nor agree,Agree,Neither disagree nor agree,Probably yes,60-64,United States,Texas,female,other (please specify):,I am not currently studying,US,3,no,,1-2 hours
Strongly agree,Probably yes,No,,,Yes,Yes,,zee,Important,Probably yes,Probably not,,Yes (please specify who):,British English,Sometimes,,Yes,Definitely yes,Definitely yes,,,Strongly agree,,Definitely yes,50-54,United States,Virginia,female,post-graduate degree,I am in a graduate program,US,0,no,,less than 30 minutes
Strongly agree,Definitely yes,No,,Important,That depends (please also explain if you can),No,,both,Important,Definitely yes,Probably yes,Probably not,No,British English,Sometimes,Yes,Yes,Definitely yes,Definitely yes,Disagree,Disagree,Agree,Strongly agree,Definitely yes,60-64,Canada,Ontario,male,high school,I am not currently studying,ON,0,yes (please specify):,8,2-4 hours
Strongly agree,Probably yes,Yes,Moderately comfortable,Unimportant,Yes,No,,zed,Neither unimportant nor important,Probably yes,Probably yes,,Yes (please specify who):,No particular variety,Sometimes,Yes,Definitely yes,Probably yes,Probably not,Agree,Agree,Agree,Agree,Definitely yes,55-59,Canada,Ontario,female,post-graduate degree,I am not currently studying,US,3,yes (please specify):,5,30 minutes to 1 hour
Don't know,Probably not,Yes,Extremely comfortable,Unimportant,That depends (please also explain if you can),No,,zed,Unimportant,Might or might not,Probably not,Probably not,No,Canadian English,Often,No,No,Definitely yes,Might or might not,Strongly disagree,Strongly disagree,Neither disagree nor agree,Neither disagree nor agree,Definitely not,50-54,Canada,British Columbia,female,undergraduate degree,I am not currently studying,ON,0,yes (please specify):,9,2-4 hours
Agree,Probably not,Yes,Extremely comfortable,Extremely important,Yes,Yes,"Yes, I do know. It is... (please describe briefly):",zed,Very important,Definitely yes,Probably yes,Probably not,Yes (please specify who):,British English,Rarely,Yes,Yes,Definitely yes,Definitely yes,Agree,Disagree,Strongly agree,Strongly disagree,Definitely yes,20-24,Canada,British Columbia,female,high school,Fourth year+,ON,0,yes (please specify):,3,less than 30 minutes
Strongly agree,Definitely yes,No,,Extremely unimportant,That depends (please also explain if you can),Yes,"Yes, I do know. It is... (please describe briefly):",zed,Very unimportant,Definitely yes,Probably yes,Probably yes,Yes (please specify who):,Canadian English,Always,Yes,Definitely yes,Definitely not,Probably yes,Neither disagree nor agree,Agree,Strongly agree,Strongly agree,Probably yes,80-84,Canada,Ontario,other (please type here),other (please specify):,Other degree (please specify),QC,0,yes (please specify):,6,4-6 hours
Agree,Neutral,Yes,Neither comfortable nor uncomfortable,Important,Yes,Yes,"Yes, I do know. It is... (please describe briefly):",zed,Very unimportant,Definitely yes,Probably yes,Definitely not,No,No particular variety,Often,No,Yes,Definitely yes,Definitely yes,Agree,Disagree,Disagree,Disagree,Probably yes,75-79,Canada,Ontario,female,graduate degree,I am not currently studying,US,0,yes (please specify):,6,30 minutes to 1 hour
Strongly agree,Definitely yes,Yes,Moderately comfortable,Unimportant,That depends (please also explain if you can),Yes,"Yes, I do know. It is... (please describe briefly):",zee,Very important,Definitely yes,Probably yes,Definitely not,Yes (please specify who):,British English,Sometimes,Yes,Neither yes or no,Probably yes,Might or might not,Agree,Disagree,Agree,Strongly agree,Probably yes,20-24,Canada,British Columbia,female,high school,Fourth year+,BC,7,yes (please specify):,7,4-6 hours
