cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,province,gender,edu_comp,degree_year,region,eui,dist_cult,eoi,soc_media,cdn_way_num
strongly agree,definitely yes,yes,moderately comfortable,,no,yes,yes but i cant describe it well,both,neither unimportant nor important,might or might not,probably yes,probably not,yes ,british english,often,no,no,definitely yes,might or might not,neither disagree nor agree,disagree,neither disagree nor agree,agree,probably not,24,canada,british columbia,female,other ,fourth year+,bc,5,yes ,12,24 hours,2
strongly agree,definitely yes,yes,extremely comfortable,extremely important,yes,no,,zee,very important,definitely yes,definitely yes,probably not,,no particular variety,rarely,yes,definitely yes,might or might not,might or might not,strongly agree,strongly agree,strongly agree,agree,definitely yes,29,canada,quebec,female,postgraduate degree,other degree ,qc,11,no,,30 minutes to 1 hour,4
strongly agree,probably yes,yes,moderately uncomfortable,extremely important,yes,yes,yes but i cant describe it well,zee,neither unimportant nor important,definitely yes,definitely yes,definitely not,no,british english,rarely,yes,yes,definitely yes,probably yes,strongly agree,agree,agree,neither disagree nor agree,definitely yes,29,canada,manitoba,male,undergraduate degree,i am not currently studying,on,5,yes ,7,12 hours,4
strongly agree,probably yes,yes,moderately comfortable,extremely important,no,not sure,,zed,important,probably yes,definitely yes,probably not,yes ,no particular variety,sometimes,yes,definitely yes,definitely yes,might or might not,strongly disagree,strongly disagree,agree,neither disagree nor agree,definitely yes,34,canada,alberta,female,graduate degree,i am not currently studying,ab,0,no,,12 hours,4
agree,definitely yes,yes,moderately uncomfortable,unimportant,that depends ,yes,yes but i cant describe it well,both,neither unimportant nor important,definitely yes,definitely yes,probably not,no,no particular variety,sometimes,yes,yes,probably not,probably yes,strongly agree,neither disagree nor agree,strongly agree,agree,probably not,29,canada,alberta,male,graduate degree,i am not currently studying,ab,0,no,,24 hours,2
strongly agree,probably yes,no,,important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably not,definitely yes,probably not,yes ,no particular variety,sometimes,yes,yes,definitely yes,probably yes,agree,agree,agree,neither disagree nor agree,probably yes,24,canada,alberta,male,undergraduate degree,i am not currently studying,ab,0,yes ,10,24 hours,3
strongly agree,probably yes,yes,moderately comfortable,,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,probably yes,yes ,british english,often,yes,yes,definitely yes,probably yes,strongly disagree,disagree,agree,agree,definitely yes,59,canada,british columbia,female,other ,i am not currently studying,bc,0,yes ,4,12 hours,4
agree,definitely yes,no,,important,yes,no,,both,important,probably yes,,probably not,,no particular variety,sometimes,,,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,69,canada,british columbia,female,other ,i am not currently studying,bc,0,yes ,8,12 hours,3
strongly agree,probably not,no,,important,that depends ,not sure,,zed,important,definitely yes,probably yes,probably not,yes ,british english,sometimes,,yes,probably yes,definitely yes,strongly agree,neither disagree nor agree,agree,agree,probably yes,64,canada,saskatchewan,female,other ,i am not currently studying,sk,0,yes ,8,12 hours,3
strongly agree,definitely not,yes,moderately comfortable,extremely unimportant,yes,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably not,probably yes,probably not,no,no particular variety,sometimes,no,neither yes or no,probably yes,probably yes,agree,strongly disagree,disagree,disagree,probably yes,34,canada,alberta,male,graduate degree,i am not currently studying,ns,0,yes ,0,,3
