cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,province,gender,edu_comp,degree_year,region,eui,dist_cult,eoi,soc_media,spell_uni_num,distinct_num,cdn_way_num,spell_num,spell_uni_scaled,distinct_scaled,cdn_way_scaled,attitude_index_scaled
agree,probably not,yes,extremely comfortable,extremely important,yes,yes,yes i do know it is ,zed,very important,definitely yes,probably yes,probably not,yes ,british english,rarely,yes,yes,definitely yes,definitely yes,agree,disagree,strongly agree,strongly disagree,definitely yes,24,canada,british columbia,female,high school,fourth year+,on,0,yes ,3,less than 30 minutes,5,3,4,5,5,3.66666666666667,5,4.66666666666667
strongly agree,definitely yes,no,,extremely unimportant,that depends ,yes,yes i do know it is ,zed,very unimportant,definitely yes,probably yes,probably yes,yes ,canadian english,always,yes,definitely yes,definitely not,probably yes,neither disagree nor agree,agree,strongly agree,strongly agree,probably yes,84,canada,ontario,other,other ,other degree ,qc,0,yes ,6,46 hours,5,3,3,1,5,3.66666666666667,3.66666666666667,3.33333333333333
agree,neutral,yes,neither comfortable nor uncomfortable,important,yes,yes,yes i do know it is ,zed,very unimportant,definitely yes,probably yes,definitely not,no,no particular variety,often,no,yes,definitely yes,definitely yes,agree,disagree,disagree,disagree,probably yes,79,canada,ontario,female,graduate degree,i am not currently studying,us,0,yes ,6,30 minutes to 1 hour,5,3,3,1,5,3.66666666666667,3.66666666666667,3.33333333333333
strongly agree,definitely yes,yes,moderately comfortable,unimportant,that depends ,yes,yes i do know it is ,zee,very important,definitely yes,probably yes,definitely not,yes ,british english,sometimes,yes,neither yes or no,probably yes,might or might not,agree,disagree,agree,strongly agree,probably yes,24,canada,british columbia,female,high school,fourth year+,bc,7,yes ,7,46 hours,5,3,3,5,5,3.66666666666667,3.66666666666667,4.33333333333333
strongly agree,probably yes,yes,extremely comfortable,unimportant,yes,yes,yes but i cant describe it well,zed,unimportant,probably not,probably not,,no,british english,never,no,neither yes or no,probably not,probably not,agree,disagree,strongly agree,strongly disagree,probably yes,24,canada,british columbia,female,undergraduate degree,i am in a graduate program,bc,2,yes ,6,24 hours,2,2,3,2,2,2.33333333333333,3.66666666666667,2.5
strongly disagreee,probably yes,no,,extremely unimportant,yes,yes,yes i do know it is ,zee,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,british english,often,yes,yes,definitely yes,definitely yes,strongly agree,strongly disagree,,agree,definitely yes,64,canada,ontario,female,graduate degree,i am not currently studying,,0,yes ,2,30 minutes to 1 hour,4,3,4,3,4,3.66666666666667,5,3.91666666666667
strongly agree,definitely yes,yes,neither comfortable nor uncomfortable,extremely important,that depends ,yes,yes i do know it is ,zed,important,probably yes,probably not,definitely not,no,canadian english,often,yes,yes,probably yes,probably yes,strongly agree,agree,strongly agree,strongly agree,probably yes,69,canada,british columbia,female,graduate degree,i am not currently studying,bc,1,yes ,2,30 minutes to 1 hour,4,2,3,4,4,2.33333333333333,3.66666666666667,3.5
strongly agree,probably not,yes,extremely comfortable,important,yes,no,,zed,neither unimportant nor important,probably yes,probably yes,probably not,no,british english,often,yes,neither yes or no,definitely yes,probably yes,disagree,disagree,disagree,agree,probably yes,69,canada,ontario,female,graduate degree,i am not currently studying,on,2,no,,30 minutes to 1 hour,4,3,3,3,4,3.66666666666667,3.66666666666667,3.58333333333333
strongly agree,,yes,extremely comfortable,,that depends ,yes,,both,neither unimportant nor important,,,probably not,no,british english,sometimes,no,yes,definitely yes,probably yes,,,,disagree,,24,canada,ontario,female,undergraduate degree,i am in a graduate program,on,0,no,,30 minutes to 1 hour,,,,3,,,,3
somewhat agree,probably yes,no,,important,that depends ,yes,yes but i cant describe it well,zed,important,definitely yes,probably yes,probably not,,british english,sometimes,yes,yes,probably yes,definitely yes,disagree,disagree,strongly agree,agree,probably yes,49,canada,british columbia,male,graduate degree,i am not currently studying,bc,0,no,,24 hours,5,3,3,4,5,3.66666666666667,3.66666666666667,4.08333333333333
strongly agree,definitely yes,no,,important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably yes,probably yes,probably not,yes ,canadian english,sometimes,yes,definitely yes,definitely yes,probably yes,disagree,disagree,,disagree,definitely yes,24,canada,ontario,male,high school,third year,on,0,no,,30 minutes to 1 hour,4,3,4,3,4,3.66666666666667,5,3.91666666666667
strongly agree,definitely yes,no,,important,no,yes,yes but i cant describe it well,both,neither unimportant nor important,might or might not,probably yes,definitely not,,british english,sometimes,yes,yes,probably yes,might or might not,disagree,disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,british columbia,male,graduate degree,i am not currently studying,ab,0,no,,24 hours,3,3,3,3,3,3.66666666666667,3.66666666666667,3.33333333333333
agree,neutral,no,,extremely unimportant,no,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely not,definitely not,yes ,british english,sometimes,yes,yes,probably not,probably yes,disagree,disagree,neither disagree nor agree,disagree,probably yes,44,canada,ontario,female,graduate degree,i am not currently studying,on,0,no,,30 minutes to 1 hour,5,1,3,5,5,1,3.66666666666667,3.66666666666667
strongly agree,neutral,no,,extremely unimportant,that depends ,no,,zed,very unimportant,definitely not,probably yes,definitely not,yes ,british english,often,no,definitely not,definitely yes,probably yes,agree,agree,neither disagree nor agree,neither disagree nor agree,probably yes,19,canada,alberta,male,high school,first year,on,0,yes ,10,12 hours,1,3,3,1,1,3.66666666666667,3.66666666666667,2.33333333333333
strongly agree,neutral,no,,extremely important,yes,not sure,,zed,very important,probably yes,probably yes,,yes ,british english,rarely,yes,yes,might or might not,definitely yes,disagree,disagree,agree,neither disagree nor agree,,54,canada,ontario,female,other ,i am not currently studying,on,0,no,,24 hours,4,3,,5,4,3.66666666666667,,4.22222222222222
agree,probably yes,no,,important,yes,no,,zed,neither unimportant nor important,probably not,probably yes,probably not,yes ,british english,sometimes,yes,yes,probably yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,disagree,probably yes,39,canada,ontario,male,postgraduate degree,i am not currently studying,on,0,no,,less than 30 minutes,2,3,3,3,2,3.66666666666667,3.66666666666667,3.08333333333333
strongly agree,neutral,no,,important,yes,yes,yes but i cant describe it well,zed,important,,probably yes,definitely not,yes ,british english,often,yes,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,agree,probably yes,49,canada,british columbia,female,other ,i am not currently studying,bc,0,yes ,2,30 minutes to 1 hour,,3,3,4,,3.66666666666667,3.66666666666667,3.77777777777778
strongly agree,definitely yes,no,,important,yes,not sure,,zed,important,definitely yes,probably yes,definitely not,no,british english,always,yes,definitely yes,probably yes,definitely yes,neither disagree nor agree,neither disagree nor agree,,agree,probably yes,24,canada,ontario,female,undergraduate degree,fourth year+,on,0,yes ,6,24 hours,5,3,3,4,5,3.66666666666667,3.66666666666667,4.08333333333333
strongly agree,probably not,no,,extremely important,yes,not sure,yes but i cant describe it well,zed,important,probably yes,probably yes,definitely not,yes ,british english,often,yes,no,definitely yes,definitely yes,agree,neither disagree nor agree,strongly agree,disagree,definitely yes,74,canada,ontario,female,other ,i am not currently studying,on,0,yes ,10,24 hours,4,3,4,4,4,3.66666666666667,5,4.16666666666667
agree,neutral,yes,moderately comfortable,,that depends ,no,,both,neither unimportant nor important,probably yes,definitely yes,probably not,yes ,canadian english,often,,yes,definitely yes,probably yes,agree,disagree,agree,disagree,definitely yes,44,canada,ontario,male,undergraduate degree,i am not currently studying,bc,1,yes ,2,12 hours,4,4,4,3,4,5,5,4.25
strongly agree,definitely yes,yes,extremely comfortable,important,that depends ,yes,yes i do know it is ,zed,important,probably yes,probably yes,definitely not,yes ,british english,sometimes,yes,definitely yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,39,canada,ontario,female,postgraduate degree,i am not currently studying,on,1,yes ,8,46 hours,4,3,3,4,4,3.66666666666667,3.66666666666667,3.83333333333333
agree,probably yes,no,,extremely important,no,no,,both,important,probably yes,probably yes,probably yes,yes ,british english,often,yes,yes,definitely yes,definitely yes,agree,disagree,agree,neither disagree nor agree,probably yes,34,canada,ontario,female,undergraduate degree,i am not currently studying,on,0,no,,12 hours,4,3,3,4,4,3.66666666666667,3.66666666666667,3.83333333333333
agree,neutral,no,,important,no,yes,yes i do know it is ,both,important,probably yes,definitely yes,definitely not,yes ,no particular variety,sometimes,yes,definitely yes,probably yes,probably yes,neither disagree nor agree,disagree,agree,disagree,definitely yes,29,canada,manitoba,female,graduate degree,i am not currently studying,mb,0,no,,less than 30 minutes,4,4,4,4,4,5,5,4.5
agree,neutral,no,,unimportant,that depends ,no,,both,unimportant,,probably not,definitely not,no,no particular variety,,no,yes,might or might not,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,strongly disagree,probably not,74,canada,nova scotia,other,graduate degree,i am not currently studying,,0,yes ,4,46 hours,,2,2,2,,2.33333333333333,2.33333333333333,2.22222222222222
strongly agree,neutral,no,,important,that depends ,yes,yes but i cant describe it well,zed,important,definitely yes,definitely yes,definitely not,yes ,british english,sometimes,yes,definitely yes,definitely yes,definitely yes,strongly agree,disagree,disagree,disagree,definitely yes,54,canada,ontario,female,high school,i am not currently studying,on,0,no,,30 minutes to 1 hour,5,4,4,4,5,5,5,4.75
agree,probably yes,no,,,yes,no,yes but i cant describe it well,zed,important,probably yes,probably yes,definitely not,no,british english,often,yes,definitely yes,definitely yes,definitely yes,strongly agree,disagree,agree,disagree,definitely yes,54,canada,ontario,female,graduate degree,i am not currently studying,on,0,no,,i dont use social media,4,3,4,4,4,3.66666666666667,5,4.16666666666667
strongly agree,probably yes,no,,extremely important,yes,yes,yes but i cant describe it well,both,very important,definitely yes,probably yes,probably not,yes ,british english,sometimes,yes,yes,definitely yes,probably yes,strongly agree,disagree,neither disagree nor agree,disagree,probably yes,54,canada,ontario,female,undergraduate degree,i am not currently studying,on,0,yes ,7,less than 30 minutes,5,3,3,5,5,3.66666666666667,3.66666666666667,4.33333333333333
agree,definitely yes,yes,moderately comfortable,unimportant,that depends ,yes,yes but i cant describe it well,zee,neither unimportant nor important,probably yes,probably yes,probably not,yes ,british english,sometimes,yes,yes,definitely yes,probably yes,disagree,disagree,agree,disagree,probably yes,24,united states,british columbia,female,high school,fourth year+,,0,yes ,3,12 hours,4,3,3,3,4,3.66666666666667,3.66666666666667,3.58333333333333
agree,definitely yes,yes,extremely comfortable,important,no,no,,both,unimportant,might or might not,probably not,probably yes,yes ,british english,sometimes,yes,neither yes or no,definitely yes,definitely yes,agree,disagree,neither disagree nor agree,neither disagree nor agree,probably yes,44,canada,ontario,female,postgraduate degree,i am not currently studying,on,0,no,,less than 30 minutes,3,2,3,2,3,2.33333333333333,3.66666666666667,2.75
agree,probably not,yes,extremely comfortable,important,no,yes,yes but i cant describe it well,zed,important,definitely yes,probably not,probably yes,yes ,canadian english,often,yes,no,definitely yes,probably yes,strongly disagree,strongly disagree,strongly disagree,strongly disagree,probably not,69,canada,ontario,male,graduate degree,i am not currently studying,on,1,no,,i dont use social media,5,2,2,4,5,2.33333333333333,2.33333333333333,3.41666666666667
